text,author,tags
"She was a very pretty woman. She had dark red hair and her eyes -- her eyes are just like mine, Harry thought, edging a little closer to the glass. Bright green -- exactly the same shape, but then he noticed that she was crying; smiling, but crying at the same time. The tall, thin, black-haired man standing next to her put his arm around her. He wore glasses, and his hair was very untidy. It stuck up at the back, just like Harry's did.Harry was so close to the mirror now that his nose was nearly touching that of his reflection.""Mum?"" he whispered. ""Dad?""They just looked at him, smiling. And slowly, Harry looked into the faces of the other people in the mirror and saw other pairs of green eyes like his, other noses like his, even a little old man who looked as though he had Harry's knobbly knees -- Harry was looking at his family, for the first time in his life.The Potters smiled and waved at Harry and he stared hungrily back at them, his hands pressed flat against the glass as though he was hoping to fall right through it and reach them. He had a powerful kind of ache inside of him, half joy, half terrible sadness.",Harry Potter and the Sorcerer's Stone,"['emotional', 'family', 'sad', 'wistfulness']"
"I thought at the time that I couldn't be horrified anymore, or wounded. I suppose that's a common conceit, that you've already been so damaged that damage itself, in its totality, makes you safe.",We Need to Talk About Kevin,"['damage', 'sad', 'safe', 'safety']"
"Bob says hello,"" He told the stars.The Argo II sailed into the night.",The House of Hades,"['end', 'no', 'sad']"
"Miss someone until they come back, or until you come back, until their absence in your life becomes something to be avoided at all costs. Miss them until you don’t have to anymore, until you’re reunited in your favorite booth in your favorite restaurant ordering your favorite meal, miss them until it feels like you never left. Or miss them until you can’t anymore, until the things you miss are identified and cataloged as things and not a person, until you figure out that easy company and long talks and unblinking, all-knowing eye contact will find you again the way they found you the first time. Miss someone until you don’t.",Stephanie Georgopulus,"['missing', 'sad']"
"Now mine eyes see the heart that once we did search for, and I fear this heart shall be mended, nevermore.",Heartless,"['beautiful', 'heartbreaking', 'sad']"
"We were fools.”“You were children. Was there no one to protect you?”“Was there anyone to protect you?”“My father. My mother. They would have done anything to keep me from being stolen.”“And they would have been mowed down by slavers.”“Then I guess I was lucky I didn’t have to see that.”How could she still look at the world that way? “Sold into a brothel at age fourteen and you count yourself lucky.”“They loved me. They love me. I believe that.” He saw her draw closer in the mirror. Her black hair was an ink splash against the white tile walls. She paused behind him. “You protected me, Kaz.”“The fact that you’re bleeding through your bandages tells me otherwise.”She glanced down. A red blossom of blood had spread on the bandage tied around her shoulder. She tugged awkwardly at the strip of towel. “I need Nina to fix this one.”He didn’t mean to say it. He meant to let her go. “I can help you.”Her gaze snapped to his in the mirror, wary as if gauging an opponent. I can help you. They were the first words she’d spoken to him, standing in the parlor of the Menagerie, draped in purple silk, eyes lined in kohl. She had helped him. And she’d nearly destroyed him. Maybe he should let her finish the job.",Crooked Kingdom,"['help', 'love', 'sad', 'slow-burn']"
Note to self ; He doesn't care anymore.,Lyla Tyela Belikov,"['careless', 'depressed', 'heartbroken', 'lonely', 'note-to-self', 'sad']"
"Blue jeans, white shirtWalked into the room you know you made my eyes burnIt was like, James Dean, for sureYou're so fresh to death and sick as ca-cancerYou were sorta punk rock, I grew up on hip hopBut you fit me better than my favourite sweater, and I knowThat love is mean, and love hurtsBut I still remember that day we met in december, oh baby!I will love you 'til the end of timeI would wait a million yearsPromise you'll remember that you're mineBaby can you see through the tearsLove you moreThan those bitches beforeSay you'll remember, oh baby, say you'll rememberI will love you 'til the end of timeBig dreams, gangsterSaid you had to leave to start your life overI was like, “No please, stay here,We don't need no money we can make it all work,”But he headed out on sunday, said he'd come home mondayI stayed up waitin', anticipatin', and pacin'But he was chasing paper""Caught up in the game"" ‒ that was the last I heardI will love you 'til the end of timeI would wait a million yearsPromise you'll remember that you're mineBaby can you see through the tearsLove you moreThan those bitches beforeSay you'll remember, oh baby, say you'll rememberI will love you 'til the end of timeYou went out every nightAnd baby that's alrightI told you that no matter what you did I'd be by your sideCause Imma ride or dieWhether you fail or flyWell shit at least you tried.But when you walked out that door, a piece of me diedI told you I wanted more-but that's not what I had in mindI just want it like beforeWe were dancing all nightThen they took you away-stole you out of my lifeYou just need to remember....I will love you 'til the end of timeI would wait a million yearsPromise you'll remember that you're mineBaby can you see through the tearsLove you moreThan those bitches beforeSay you'll remember, oh baby, say you'll rememberI will love you 'til the end of time",Lana Del Rey,"['leaving', 'love', 'sad']"
Maybe I'd always been broken and dark inside.,A Court of Mist and Fury,"['beginning', 'broken', 'dark', 'depressing', 'first-sentence', 'relatable', 'sad']"
"Leave the pain behind and let your life be your own again. There is a place where all time is now, and the choices are simple and always your own.Wolves have no kings",Robin Hobb,['sad']
"God knows we’re all drawn toward what’s beautiful and broken; I have been, but some people cannot be fixed. Or if they can be, it’s only by love and sacrifice so great it destroys the giver.",City of Lost Souls,"['beautiful', 'beautiful-disaster', 'broken', 'depressed', 'love', 'sacrifice', 'sad']"
"But she hadn't been able to take root. She'd remembered the wrong things, and forgotten too much. She'd remembered how to kill and how to hate, and she'd forgotten how to grow.",Uprooted,['sad']
People aren't born sad; we make them that way.,Nikita Gill,"['depressing', 'life-quotes', 'quotes-about-life', 'sad', 'sad-quotes', 'truth']"
I didn’t love you to seek revenge.I didn’t love you out of loneliness or unhappiness.I didn’t love you for any of the misguided reasons that time might convince you I did.I just loved you because you’re you.,Ranata Suzuki,"['always-yours', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'unrequited', 'unrequited-love', 'without-you']"
"I will always protect you"" he told me, his jaw tight, his eyes shadowed. ""You deserve to feel safe in your own home. And I'll help you with the foundation. I'll teach you what you need to know to take this life like you were born to it. But this...us..."" He swallowed. ""It can't happen, Avery. I've seen the way Jamerson looks at you.",The Inheritance Games,"['love', 'rejection', 'sad']"
Everyone's a liar. Everyone I've ever known.,Julie Ann Peters,"['depression', 'sad', 'suicide']"
به کجا چنین شتابان؟گون از نسیم پرسید- دل من گرفته زین جاهوس سفر نداریز غبار این بیابان؟- همه آرزویم اماچه کنم که بسته پایم.به کجا چنین شتابان؟- به هر آن کجا که باشدبه جز این سرا، سرایم- سفرت به خیر اما تو و دوستی، خدا راچو از این کویر وحشت به سلامتی گذشتیبه شکوفه‌ها، به بارانبرسان سلام ما را,در کوچه‌باغ‌های نشابور,"['intresting', 'poem', 'sad']"
"It's all right, Tessa, you can go. We love you. You can go now.''Why are you saying that?''She might need permission to die, Cal.''I don't want her to. She doesn't have my permission.",Before I Die,"['before-i-die', 'cancer', 'death', 'family', 'sad']"
"I loved him,"" Remus said. ""but he wasn't you",All the Young Dudes,"['cute', 'love', 'sad']"
I threw his framed picture off my balcony just to hear my heart break.,Loved,"['break-up', 'heart-break', 'heartbreak', 'heartbroken', 'sad']"
Your smile and your laughter lit my whole world.,Ranata Suzuki,"['always-yours', 'amour', 'beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-love', 'deep-love-quotes', 'deep-thoughts', 'desire', 'devotion', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'longing', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'lust', 'missing-someone', 'missing-you-quotes', 'paramour', 'passion', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'romance', 'romanticism', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'secret-love', 'the-one-that-got-away', 'the-only-one', 'unrequited', 'unrequited-love', 'without-you']"
"ROSE: I love you, Jack.JACK: No...don’t say your goodbyes, Rose. Don’t you give up. Don’t do it.ROSE: I’m so cold.JACK: You’re going to get out of this...you’re going to go on and you’re going to make babies and watch them grow and you’re going to die an old lady, warm in your bed. Not here...Not this night. Do you understand me?ROSE: I can’t feel my body.JACK: Rose, listen to me. Winning that ticket was the best thing that ever happened to me. It brought me to you. And I’m thankful, Rose. I’m thankful. You must do me this honor...promise me you will survive....that you will never give up...not matter what happens...no matter how hopeless...promise me now, and never let go of that promise.ROSE: I promise.JACK: Never let go.ROSE: I promise. I will never let go, Jack. I’ll never let go.",""" Titanic "" Script Book","['beautiful', 'romantic', 'sad']"
"I play until my fingers are blue and stiff from the cold, and then I keep on playing. Until I'm lost in the music. Until I am the music--notes and chords, the melody and harmony. It hurts, but it's okay because when I'm the music, I'm not me. Not sad. Not afraid. Not desperate. Not guilty.",Revolution,"['grief', 'guilt', 'guitars', 'harmony', 'music', 'sad']"
Often it feels like I am breathing today only because a few years back I had no idea which nerve to cut...,Sanhita Baruah,"['alive', 'alone', 'broken', 'crying', 'cut', 'depressed', 'devastated', 'grief', 'life', 'loneliness', 'lonely', 'loss', 'love', 'madness', 'melancholy', 'mess', 'morose', 'nerve', 'sad', 'solitude', 'suicidal', 'suicide', 'suicide-attempt', 'unhappy', 'weeping']"
"Why are you drinking? demanded the little prince.""So that I may forget,"" replied the tippler.""Forget what?"" inquired the little prince, who was already sorry for him.""Forget that I am ashamed,"" the tippler confessed, hanging his head.""Ashamed of what?"" insisted the little prince, who wanted to help him.""Ashamed of drinking!",The Little Prince,"['drinking', 'sad', 'shame']"
It lit up like a Christmas Tree Hazel Grace...,The Fault in Our Stars,"['augustus', 'cancer', 'pain', 'sad', 'sorrow', 'sorrowful']"
"Some things a heart won't listen to, I'm still holding out for you",SHeDAISY,"['breakup', 'couples', 'heartbreak', 'love', 'sad', 'song']"
Loving a man shouldn't have to be this rough,Tim McGraw,"['breakup', 'couples-heartbreak', 'love', 'sad', 'song']"
"I've decided that it's possible to love someone for entirely selfless reasons, for all of their flaws and weaknesses, and still not succeed in having them love you back. It's sad, perhaps, but not tragic, unless you dwell forever in the pursuit of their elusive affections.",Say What You Will,"['books', 'cute', 'love', 'reading', 'sad']"
"Rain makes me feel less alone. All rain is, is a cloud- falling apart, and pouring its shattered pieces down on top of you. It makes me feel good to know I'm not the only thing that falls apart . It makes me feel better to know other things in nature can shatter.",Lone Alaskan Gypsy,"['cloud', 'depressed', 'depression', 'falling-apart', 'loneliness', 'lonely', 'rain', 'sad', 'sad-love', 'suicidal', 'weather']"
"We got off at the next exit, quietly, and, switching drivers, we walked in front of the car. We met and I held him, my hands balled into tight fists around his shoulders, and he wrapped his short arms around me and squeezed tight, so that I felt the heaves of his chest as we realized over and over again that we were still alive. I realized it in waves and we held on to each other crying and I thought, 'God we must look so lame,' but it doesn't matter when you have just now realized, all the time later, that you are still alive.",Looking for Alaska,"['crying', 'sad', 'still-alive']"
"Sorrow spares no one, and scars respect no person.",Infamous,"['pessimism', 'respect', 'sad', 'scars', 'sorrow']"
"The silence is the worst part of any fight, because it's made up of all the things we wish we could say, if only we had the guts.",Gray,"['arguments', 'fighting', 'fights', 'gray', 'love', 'pete-wentz', 'sad']"
"I wouldn't have missed a single minute of it, Not for the whole world.",Stephen King,"['life', 'memory', 'regret', 'sad']"
"Oh, darling, I've been so miserable.",The Sun Also Rises,"['brett', 'darling', 'miserable', 'sad', 'the-sun-also-rises']"
"When I was a girl I would look out my bedroom window at the caterpillars; I envied them so much. No matter what they were before, no matter what happened to them, they could just hide away and turn into these beautiful creatures that could fly away completely untouched.",Patch Adams,"['butterflies', 'caterpillars', 'sad', 'sadness', 'sorrow']"
"I am heartbroken, but I have been heartbroken before, and this might be the best for which I can hope.",The End,"['disapointment', 'heartbroken', 'hope', 'sad']"
"Astley comes to my side. ""Are you well?"" ""No,"" I tell him, voice hoarse. ""I am not well. I am broken inside. I am broken almost all-the-way deep, and I don't know...I don't know if I can ever be unbroken, let alone well again”.",Entice,"['broken', 'sad', 'sorrow', 'status']"
"He will be someone who is defined, first and always, by what he is missing.",A Little Life,"['a-little-life', 'hanya-yanagihara', 'missing', 'sad']"
"I am not collarbones or drunken letters never sent. I am not the way I leave or left or didn’t know how to handle anything,at any time,and I am not your fault.",Charlotte Eriksson,"['break-up', 'charlotte-eriksson', 'drunk', 'growing-up', 'leave', 'leaving', 'letters', 'lost-love', 'poetry', 'prose', 'prose-poetry', 'sad', 'the-glass-child', 'tumblr-writer', 'youth']"
"Sam,"" she said.""I'm trying!""""Sam,"" she repeated.""No,"" he spat, hearing her tone. ""No!""He began screaming for help then. Celaena pressed her face to one of the holes in the grate. Help wasn't going to come-not fast enough.""Please,"" Sam begged as he beat and yanked on the grate, he tried to wedge another dagger under the lid. ""Please don't.""She knew he wasn't speaking to her.The water hit her neck.""Please,"" Sam moaned, his fingers now touching hers. She'd have one last breath. Her last words.""Take my body home to Terrasen, Sam,"" she whispered. And with a gasping breath, she went under.",The Assassin and the Empire,"['assassin-s-blade', 'celaena-sadothien', 'friendship', 'heartbreaking', 'love', 'sad', 'sam-cortland']"
"I feel like I'm going to HURL. Which, even if I wanted to do, I couldn't do, because I haven't eaten. I can't even drag myself out of my room. And while I'd be able to muster the strength to roundhouse Fang until he begged for MERCY, I'de be mush around an Eraser.",Fang,"['maximum-ride', 'sad', 'the-other-epilogue']"
I think how the world is still somehow beautiful even when I feel no joy at being alive within it. ,First They Killed My Father: A Daughter of Cambodia Remembers,"['nonfiction', 'sad']"
"Lucas heard a strange sound, something he hadn’t heard in months. At first it didn’t seem real, it was something distant from the past. It was the first time in nearly a year he had heard himself laugh, and it momentarily stunned him",The Edelweiss Express,"['guilty', 'guilty-pleasures', 'laughter', 'sad', 'stunned']"
"I care for no man on earth, and no man on earth cares for me.",A Tale of Two Cities,"['a-tale-of-two-cities', 'alone', 'charles-dickens', 'depressed', 'depression', 'dickens', 'life', 'lonely', 'philosophy', 'sad', 'self-loathing', 'self-worth', 'sydney-carton']"
If only…the saddest words in the English language.,My One and Only,"['if-only', 'sad']"
When your sad--like really sad--you only want to be with other people who are sad.,A Long Way Down,"['a-long-way-down', 'life', 'sad', 'sadness']"
"I will tell you a story, one I used to tell to a little boy with dark hair. A silent boy who rarely laughs, who listened more closely than I realized. A boy who had a name and not a title",Ruin and Rising,"['aleksander-morozova', 'baghra', 'grisha', 'leigh-bardugo', 'ruin-and-rising', 'sad', 'the-darkling']"
"How could you give me life, and take from me all the inappreciable things that raise it from the state of conscious death? Where are the graces of my soul? Where are the sentiments of my heart? What have you done, oh, Father, What have you done with the garden that should have bloomed once, in this great wilderness here? Said louisa as she touched her heart.",Hard Times,"['heart', 'pain', 'sad']"
It’s times like this…. when it’s over a year later and I’m still crying over you that I want to turn to you and say: See…. This is why I asked you never to kiss me.,Ranata Suzuki,"['beautiful', 'beautiful-quote', 'break-up-quote', 'break-ups', 'breakup', 'breakup-quote', 'breakup-quotes', 'broken-heart', 'deep-thoughts', 'feelings', 'feelings-and-emotions', 'feelings-of-love', 'grief', 'grief-and-loss', 'grief-quotes', 'grieving', 'heartbreak', 'heartbreak-quotes', 'heartbroken', 'heartbroken-quotes', 'i-miss-you', 'i-told-you-so', 'loss', 'loss-of-love', 'loss-quote', 'loss-quotes', 'lost', 'lost-love', 'lost-love-quotes', 'love-quotations', 'love-quote', 'love-quotes', 'love-quotes-and-sayings', 'missing-someone', 'missing-you-quotes', 'quote', 'quotes', 'ranata-suzuki', 'ranata-suzuki-quote', 'sad', 'sad-quote', 'sad-quotes', 'sadness', 'the-one-that-got-away', 'unrequited', 'unrequited-love', 'without-you']"
"The two brothers who sought to get their only family back, to feel her warmth, one lost his last family member and the other could never feel warmth again.The one who wanted her baby back lost chance of having one again,And the one who had a vision to see his country change became blind.",Hiromu Arakawa,"['alchemy', 'fullmetal-alchemist', 'loss', 'sad']"
"Once you start down the slippery slope of depression, it's hard to climb off of it. And sometimes you don't want to climb off of it.",What I Didn't Say,"['depression', 'sad', 'sadness']"
"And with every step I took it became more impossible for me to turn back. And my mind was empty—or it was as though my mind had become one enormous, anaesthetized wound. I thought only, One day I'll weep for this. One of these days I'll start to cry.",Giovanni's Room,"['giovanni-s-room', 'grieving', 'james-baldwin', 'leaving', 'no-turning-back', 'numb', 'sad', 'sorrow']"
"You are cruel, Elias,” she whispers against my mouth. “To give a girl all she desires only to tear it away.” “This isn't the end for us, Laia of Serra.” I cannot give up what we could have. I don't care what bleeding vow I made. “Do you hear me? This is not our end.” “You've never been a liar.” She dashes her hands against the wetness in her eyes. “Don't start now.",A Reaper at the Gates,"['heartbroken', 'sad']"
"The more you start to love someone, the more you ache when they’re gone, and maybe it’s that middle ground that hurts the most, when you can see them and still not feel like you’re near enough.",Emmy & Oliver,"['heartbreak', 'love', 'sad']"
And then his noise falls completely silent-And he stops struggling-And looking right into my eyes-He dies.My Todd dies.,Monsters of Men,"['death', 'sad', 'shot', 'todd']"
"You are all the colours in one, at full brightness.",All the Bright Places,"['happy', 'inspirational', 'sad']"
It is a very sad thing that nowadays there is so little useless information.,Oscar Wilde,"['information', 'literature', 'little', 'sad', 'wisdom']"
Every morning I sit at the kitchen table over a tall glass of water swallowing pills. (So my hands won’t shake.) (So my heart won’t race.) (So my face won’t thaw.) (So my blood won’t mold.) (So the voices won’t scream.) (So I don’t reach for knives.) (So I keep out of the oven.) (So I eat every morsel.) (So the wine goes bitter.) (So I remember the laundry.) (So I remember to call.) (So I remember the name of each pill.) (So I remember the name of each sickness.) (So I keep my hands inside my hands.) (So the city won’t rattle.) (So I don’t weep on the bus.) (So I don’t wander the guardrail.) (So the flashbacks go quiet.) (So the insomnia sleeps.) (So I don’t jump at car horns.) (So I don’t jump at cat-calls.) (So I don’t jump a bridge.) (So I don’t twitch.) (So I don’t riot.) (So I don’t slit a strange man’s throat.),Jeanann Verlee,"['depression', 'good-girl', 'life', 'love', 'sad', 'sadness', 'self-harm']"
